objectid,filename,title,creator,date,source,identifier,type,format
gbby-45g325,http://archives.nd.edu/Bagby/GBBY-45g325.jpg,GBBY 45G/325: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g325.jpg,gbby-45g325,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g326,http://archives.nd.edu/Bagby/GBBY-45g326.jpg,GBBY 45G/326: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g326.jpg,gbby-45g326,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g327,http://archives.nd.edu/Bagby/GBBY-45g327.jpg,GBBY 45G/327: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g327.jpg,gbby-45g327,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g328,http://archives.nd.edu/Bagby/GBBY-45g328.jpg,GBBY 45G/328: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g328.jpg,gbby-45g328,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g329,http://archives.nd.edu/Bagby/GBBY-45g329.jpg,GBBY 45G/329: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g329.jpg,gbby-45g329,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g330,http://archives.nd.edu/Bagby/GBBY-45g330.jpg,GBBY 45G/330: Football Player: Unidentified - c1920-1930s,University of Notre Dame Archives,1920-1930s,http://archives.nd.edu/Bagby/GBBY-45g330.jpg,gbby-45g330,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g331,http://archives.nd.edu/Bagby/GBBY-45g331.jpg,GBBY 45G/331: Football Player: Harry Stuhldreher - c1922-1924,University of Notre Dame Archives,1922-1924,http://archives.nd.edu/Bagby/GBBY-45g331.jpg,gbby-45g331,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g332,http://archives.nd.edu/Bagby/GBBY-45g332.jpg,GBBY 45G/332: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g332.jpg,gbby-45g332,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g333,http://archives.nd.edu/Bagby/GBBY-45g333.jpg,GBBY 45G/333: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g333.jpg,gbby-45g333,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g334,http://archives.nd.edu/Bagby/GBBY-45g334.jpg,GBBY 45G/334: Football Player: Edward (Eddie) White - c1925-1927,University of Notre Dame Archives,1925-1927,http://archives.nd.edu/Bagby/GBBY-45g334.jpg,gbby-45g334,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g335,http://archives.nd.edu/Bagby/GBBY-45g335.jpg,GBBY 45G/335: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g335.jpg,gbby-45g335,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g336,http://archives.nd.edu/Bagby/GBBY-45g336.jpg,GBBY 45G/336: Football Player: Harvey Brown - c1921-1923,University of Notre Dame Archives,1921-1923,http://archives.nd.edu/Bagby/GBBY-45g336.jpg,gbby-45g336,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g337,http://archives.nd.edu/Bagby/GBBY-45g337.jpg,GBBY 45G/337: Football Player: Robert (Bob) Reagan - c1921-1923,University of Notre Dame Archives,1921-1923,http://archives.nd.edu/Bagby/GBBY-45g337.jpg,gbby-45g337,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g338,http://archives.nd.edu/Bagby/GBBY-45g338.jpg,GBBY 45G/338: Football Player: Edgar (Rip) Miller - c1922-1924,University of Notre Dame Archives,1922-1924,http://archives.nd.edu/Bagby/GBBY-45g338.jpg,gbby-45g338,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g339,http://archives.nd.edu/Bagby/GBBY-45g339.jpg,GBBY 45G/339: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g339.jpg,gbby-45g339,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g340,http://archives.nd.edu/Bagby/GBBY-45g340.jpg,"GBBY 45G/340: Football Player: Joseph (Joe, Dutch) Bergman - c1921-1923",University of Notre Dame Archives,1921-1923,http://archives.nd.edu/Bagby/GBBY-45g340.jpg,gbby-45g340,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g341,http://archives.nd.edu/Bagby/GBBY-45g341.jpg,GBBY 45G/341: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g341.jpg,gbby-45g341,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g342,http://archives.nd.edu/Bagby/GBBY-45g342.jpg,GBBY 45G/342: Football Player: Willie (Red) Maher - c1921-1923,University of Notre Dame Archives,1921-1923,http://archives.nd.edu/Bagby/GBBY-45g342.jpg,gbby-45g342,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g343,http://archives.nd.edu/Bagby/GBBY-45g343.jpg,GBBY 45G/343: Football Player: Unidentified - c1920s,University of Notre Dame Archives,1920s,http://archives.nd.edu/Bagby/GBBY-45g343.jpg,gbby-45g343,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g344,http://archives.nd.edu/Bagby/GBBY-45g344.jpg,GBBY 45G/344: Football Player: James (Jim) Crowley - c1922-1924,University of Notre Dame Archives,1922-1924,http://archives.nd.edu/Bagby/GBBY-45g344.jpg,gbby-45g344,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g345,http://archives.nd.edu/Bagby/GBBY-45g345.jpg,GBBY 45G/345: Football Player: Harry Stuhldreher - c1922-1924,University of Notre Dame Archives,1922-1924,http://archives.nd.edu/Bagby/GBBY-45g345.jpg,gbby-45g345,Image;StillImage;Glassplatenegative,image/jpeg
gbby-45g346,http://archives.nd.edu/Bagby/GBBY-45g346.jpg,"GBBY 45G/346: Football Player: Thomas (Tom, Red) Hearden - c1924-1926",University of Notre Dame Archives,1924-1926,http://archives.nd.edu/Bagby/GBBY-45g346.jpg,gbby-45g346,Image;StillImage;Glassplatenegative,image/jpeg
